level_id,source_file,offset,save_idx,category,object,friendly_name,level_region,sub_region,can_softlock,zone,x,y,z,track_type,is_tracked,is_verified,notes
swampday,quest.rsc,0x002A,32,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,0,-3631.8022,-1280.0892,6585.1748,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x00BA,2,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,1,2654.9854,-1214.9252,3357.0425,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0102,3,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,1,2485.5144,-1214.9447,3354.4885,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x014A,31,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,1,3894.9563,-1683.6824,7103.1606,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x01DA,27,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,2,7981.23,-1592.7346,8012.165,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0222,28,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,2,8133.4497,-1564.0648,8283.5801,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x026A,29,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,2,8210.0137,-1597.1226,7782.0396,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x04F2,4,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,10253.2646,-576.0889,6777.3809,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x053A,5,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,10326.0557,-576.089,6688.9912,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0582,6,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & BATON,NULL,3,11792.3691,-352.089,6743.7012,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x05CA,7,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & BATON,NULL,3,11534.626,-352.089,6634.2554,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0612,8,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,12639.7549,-224.0887,5149.4849,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x065A,9,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,14502.1836,450.9646,3603.3159,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x07C2,1,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,TRUE,4,15988.7129,1183.911,3195.2026,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x080A,20,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,4,16657.9238,1663.9137,8876.8027,0x0000,TRUE,TRUE,
as2exper,quest.rsc,0x0852,0,cadeaux,RSC_CADEAUX,Cadeaux,Asylum: Experimentation Rooms,ENG_KEY,NULL,1,-1424.9744,128.0009,-5177.6929,0x0000,FALSE,TRUE,
swampday,quest.rsc,0x0A02,14,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,5,16340.7705,1675.911,7639.9863,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0A4A,15,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,5,16449.1602,1887.911,7633.916,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0A92,16,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,5,16418.3359,1663.9269,7738.2202,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0ADA,17,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,5,16429.2676,1765.4594,7637.5142,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0B22,18,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,5,14659.2129,1663.9276,7860.2705,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0B6A,19,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,5,15739.083,1799.9055,7953.0039,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0D1A,21,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,6,13281.8789,-1845.8971,10065.9707,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0D62,22,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,6,14522.7646,-1696.0891,10296.7178,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0DAA,23,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,6,12409.376,-2144.0891,9654.2021,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0DF2,25,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,7,15449.1621,-1376.0956,14553.2129,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0F12,24,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,8,7106.3525,-864.0875,13315.7139,0x0000,TRUE,TRUE,
as2exper,quest.rsc,0x0F5A,0,cadeaux,RSC_CADEAUX,Cadeaux,Asylum: Experimentation Rooms,ENG_KEY,NULL,3,998.818,287.8526,-6076.1514,0x0000,FALSE,TRUE,
swampday,quest.rsc,0x119A,26,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,9,5412.2212,-1440.0898,11119.4814,0x0000,TRUE,TRUE,
ah4fogom,instance.rsc,0x119A,0,cadeaux,RSC_CADEAUX,Cadeaux,Asylum: The Fogometers,N,NULL,4,-5445.4912,1536.0576,7211.5518,0x0000,FALSE,TRUE,
swampday,quest.rsc,0x11E2,30,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,9,3793.8726,-1146.8717,7323.4902,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x12BA,10,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & CALABASH,NULL,10,16841.0723,655.9169,8995.3184,0x0000,TRUE,TRUE,
deadside,quest.rsc,0x12BA,174,cadeaux,RSC_CADEAUX,Cadeaux,Deadside Marrow Gates,N,NULL,9,4462.5933,1562.7118,17273.1875,0x0002,TRUE,TRUE,
swampday,quest.rsc,0x1302,11,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & CALABASH,NULL,10,16898.998,656.0813,9179.459,0x0000,TRUE,TRUE,
deadside,quest.rsc,0x1302,174,cadeaux,RSC_CADEAUX,Cadeaux,Deadside Marrow Gates,N,NULL,9,4017.1973,1562.7118,16806.9043,0x0002,TRUE,TRUE,
swampday,quest.rsc,0x134A,12,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & CALABASH,NULL,10,17193.7734,655.9191,9219.0557,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x1392,13,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & CALABASH,NULL,10,17183.6367,655.9116,9044.9014,0x0000,TRUE,TRUE,
as2exper,quest.rsc,0x1B2A,0,cadeaux,RSC_CADEAUX,Cadeaux,Asylum: Experimentation Rooms,ENG_KEY,NULL,5,-3845.9375,1631.8525,5214.0693,0x0000,FALSE,TRUE,
