level_id,source_file,offset,save_idx,category,object,friendly_name,level_region,sub_region,can_softlock,zone,x,y,z,track_type,is_tracked,is_verified,notes
swampday,quest.rsc,0x002A,32,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,0,-3631.8,-1280.09,6585.17,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x00BA,2,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,1,2654.99,-1214.93,3357.04,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0102,3,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,1,2485.51,-1214.94,3354.49,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x014A,31,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,1,3894.96,-1683.68,7103.16,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x01DA,27,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,2,7981.23,-1592.73,8012.17,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0222,28,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,2,8133.45,-1564.06,8283.58,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x026A,29,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,2,8210.01,-1597.12,7782.04,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x04F2,4,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,10253.26,-576.09,6777.38,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x053A,5,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,10326.06,-576.09,6688.99,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0582,6,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & BATON,NULL,3,11792.37,-352.09,6743.7,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x05CA,7,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,NIGHT & BATON,NULL,3,11534.63,-352.09,6634.26,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x0612,8,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,12639.75,-224.09,5149.48,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x065A,9,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,3,14502.18,450.96,3603.32,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x07C2,1,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,TRUE,4,15988.71,1183.91,3195.2,0x0000,TRUE,TRUE,
swampday,quest.rsc,0x080A,20,cadeaux,RSC_CADEAUX,Cadeaux,Louisiana Swampland,N,NULL,4,16657.92,1663.91,8876.8,0x0000,TRUE,TRUE,
as2exper,quest.rsc,0x0852,0,cadeaux,RSC_CADEAUX,Cadeaux,Asylum: Experimentation Rooms,ENG_KEY,NULL,1,-1424.97,128,-5177.69,0x0000,FALSE,TRUE,
